Vx,Vy,Yaw,YawRate,latitude,longitude,el,x_gps_cg,y_gps_cg,y,dy,mu,nu,dPsi,r,h,r_d,kappa,uUser,uOpt,blendingRatio,uOut,M
1.049623485,0.000833405,-1.579053745,-0.00067,42.30196865,-83.69753936,276.0259094,0.99,0,0.25179624,0.001734531,1.049623485,0.000833405,0.001652527,-0.00067,8,0.001897522,0.001807812,0,-0.070281738,0,0,0.586381437
1.078118058,0.001064289,-1.578986744,0.00021,42.30196807,-83.69753934,276.0247803,0.99,0,0.2529237,0.001979791,1.078118058,0.001064289,0.00183634,0.00021,8,0.001917685,0.001778733,0,-0.072515439,0.00805673,-0.000584237,0.594438166
1.106806475,0.003209437,-1.579000744,-0.0011,42.30196748,-83.69753932,276.0236206,0.99,0,0.25478752,0.006735089,1.097780807,0.005930437,0.006135135,0.00266,8,0.001903946,0.001734334,0,-0.099685979,0.109122382,-0.010877971,0.703560548
1.125908852,0.007074965,-1.579053743,-0.00145,42.30196707,-83.69753931,276.0228577,0.99,0,0.256249219,0.007741271,1.125908852,0.007074965,0.006875493,-0.00145,8,0.001918658,0.001704064,0,-0.102426733,0.014921271,-0.001528337,0.718481819
1.144286627,0.014613619,-1.578987743,0.00314,42.30196666,-83.69753929,276.0220032,0.99,0,0.258929657,0.015301857,1.144286627,0.014613619,0.013371707,0.00314,8,0.00163428,0.001428092,0,-0.125894529,1,-0.125894529,0.884364908
1.170565037,0.013098244,-1.578916742,-0.00132,42.30196604,-83.69753926,276.020813,0.99,0,0.26106923,0.01380755,1.170565037,0.013098244,0.011795163,-0.00132,8,0.001691814,0.001445207,0,-0.120392069,0.415980745,-0.050080783,0.845485968
1.189863832,0.017173379,-1.578787741,0.00331,42.30196561,-83.69753924,276.0199585,0.99,0,0.264406222,0.017924939,1.189863832,0.017173379,0.015063698,0.00331,8,0.00175095,0.001471401,0,-0.133194908,1,-0.133194908,0.93668135
1.209329208,0.014580072,-1.578648741,0.00264,42.30196497,-83.6975392,276.0184631,0.99,0,0.267474064,0.015428002,1.209329208,0.014580072,0.012756906,0.00264,8,0.00180053,0.001488758,0,-0.126382647,0.831277666,-0.105059072,0.887996274
1.228274628,0.013265992,-1.57855274,0.00401,42.30196431,-83.69753917,276.0168152,0.99,0,0.270779597,0.014109631,1.228274628,0.013265992,0.011486941,0.00401,8,0.00186206,0.001515908,0,-0.123043054,0.651989448,-0.080222773,0.867271429
1.247495591,0.014497628,-1.57842674,0.00901,42.30196385,-83.69753915,276.0151367,0.99,0,0.272687666,0.015415788,1.247495591,0.014497628,0.012356869,0.00901,8,0.001914459,0.001534538,0,-0.127257893,1,-0.127257893,0.899169077
1.29085168,0.008422036,-1.578442739,0.00522,42.30196316,-83.69753912,276.012085,0.99,0,0.275512292,0.002070401,1.265644516,0.001319063,0.001635847,-0.00197,8,0.001978252,0.001563038,0,-0.075383701,0,0,0.636475802
1.30696865,0.006000784,-1.578447738,0.00225,42.30196269,-83.6975391,276.0102844,0.99,0,0.277805284,0.005670575,1.299256412,0.005016306,0.004364458,0.00166,8,0.002055572,0.001582102,0,-0.098196378,0.074758212,-0.007340986,0.711234014
1.324102323,2.93E-06,-1.578418738,-0.00497,42.30196197,-83.69753907,276.007782,0.99,0,0.281281664,0.000555594,1.324102323,2.93E-06,0.0004196,-0.00497,8,0.002129122,0.001607974,0,-0.06630526,0,0,0.616356389
1.34143201,0.012635295,-1.578246737,0.00703,42.30196149,-83.69753905,276.0063782,0.99,0,0.283784972,0.013311567,1.34143201,0.012635295,0.009923123,0.00703,8,0.002100581,0.001565855,0,-0.122526884,0.882824732,-0.108169763,0.86356192
1.359386183,0.015514765,-1.578081736,0.00818,42.30196075,-83.69753901,276.0039673,0.99,0,0.287368059,0.016255019,1.359386183,0.015514765,0.011957123,0.00818,8,0.002031376,0.001494236,0,-0.130486415,1,-0.130486415,0.92097693
